PassengerId,Survived,Pclass,Sex
1,0,3,male
2,1,1,female
3,1,3,female
4,1,1,female
5,0,3,male
6,0,3,male
7,0,1,male
8,0,3,male
9,1,3,female
10,1,2,female
11,1,3,female
12,1,1,female
13,0,3,male
14,0,3,male
15,0,3,female
16,1,2,female
17,0,3,male
18,1,2,male
19,0,3,female
20,1,3,female
21,0,2,male
22,1,2,male
23,1,3,female
24,1,1,male
25,0,3,female
26,1,3,female
27,0,3,male
28,0,1,male
29,1,3,female
30,0,3,male
31,0,1,male
32,1,1,female
33,1,3,female
34,0,2,male
35,0,1,male
36,0,1,male
37,1,3,male
38,0,3,male
39,0,3,female
40,1,3,female
41,0,3,female
42,0,2,female
43,0,3,male
44,1,2,female
45,1,3,female
46,0,3,male
47,0,3,male
48,1,3,female
49,0,3,male
50,0,3,female
51,0,3,male
52,0,3,male
53,1,1,female
54,1,2,female
55,0,1,male
56,1,1,male
57,1,2,female
58,0,3,male
59,1,2,female
60,0,3,male
61,0,3,male
62,1,1,female
63,0,1,male
64,0,3,male
65,0,1,male
66,1,3,male
67,1,2,female
68,0,3,male
69,1,3,female
70,0,3,male
71,0,2,male
72,0,3,female
73,0,2,male
74,0,3,male
75,1,3,male
76,0,3,male
77,0,3,male
78,0,3,male
79,1,2,male
80,1,3,female
81,0,3,male
82,1,3,male
83,1,3,female
84,0,1,male
85,1,2,female
86,1,3,female
87,0,3,male
88,0,3,male
89,1,1,female
90,0,3,male
91,0,3,male
92,0,3,male
93,0,1,male
94,0,3,male
95,0,3,male
96,0,3,male
97,0,1,male
98,1,1,male
99,1,2,female
100,0,2,male
101,0,3,female
102,0,3,male
103,0,1,male
104,0,3,male
105,0,3,male
106,0,3,male
107,1,3,female
108,1,3,male
109,0,3,male
110,1,3,female
111,0,1,male
112,0,3,female
113,0,3,male
114,0,3,female
115,0,3,female
116,0,3,male
117,0,3,male
118,0,2,male
119,0,1,male
120,0,3,female
121,0,2,male
122,0,3,male
123,0,2,male
124,1,2,female
125,0,1,male
126,1,3,male
127,0,3,male
128,1,3,male
129,1,3,female
130,0,3,male
131,0,3,male
132,0,3,male
133,0,3,female
134,1,2,female
135,0,2,male
136,0,2,male
137,1,1,female
138,0,1,male
139,0,3,male
140,0,1,male
141,0,3,female
142,1,3,female
143,1,3,female
144,0,3,male
145,0,2,male
146,0,2,male
147,1,3,male
148,0,3,female
149,0,2,male
150,0,2,male
151,0,2,male
152,1,1,female
153,0,3,male
154,0,3,male
155,0,3,male
156,0,1,male
157,1,3,female
158,0,3,male
159,0,3,male
160,0,3,male
161,0,3,male
162,1,2,female
163,0,3,male
164,0,3,male
165,0,3,male
166,1,3,male
167,1,1,female
168,0,3,female
169,0,1,male
170,0,3,male
171,0,1,male
172,0,3,male
173,1,3,female
174,0,3,male
175,0,1,male
176,0,3,male
177,0,3,male
178,0,1,female
179,0,2,male
180,0,3,male
181,0,3,female
182,0,2,male
183,0,3,male
184,1,2,male
185,1,3,female
186,0,1,male
187,1,3,female
188,1,1,male
189,0,3,male
190,0,3,male
191,1,2,female
192,0,2,male
193,1,3,female
194,1,2,male
195,1,1,female
196,1,1,female
197,0,3,male
198,0,3,male
199,1,3,female
200,0,2,female
201,0,3,male
202,0,3,male
203,0,3,male
204,0,3,male
205,1,3,male
206,0,3,female
207,0,3,male
208,1,3,male
209,1,3,female
210,1,1,male
211,0,3,male
212,1,2,female
213,0,3,male
214,0,2,male
215,0,3,male
216,1,1,female
217,1,3,female
218,0,2,male
219,1,1,female
220,0,2,male
221,1,3,male
222,0,2,male
223,0,3,male
224,0,3,male
225,1,1,male
226,0,3,male
227,1,2,male
228,0,3,male
229,0,2,male
230,0,3,female
231,1,1,female
232,0,3,male
233,0,2,male
234,1,3,female
235,0,2,male
236,0,3,female
237,0,2,male
238,1,2,female
239,0,2,male
240,0,2,male
241,0,3,female
242,1,3,female
243,0,2,male
244,0,3,male
245,0,3,male
246,0,1,male
247,0,3,female
248,1,2,female
249,1,1,male
250,0,2,male
251,0,3,male
252,0,3,female
253,0,1,male
254,0,3,male
255,0,3,female
256,1,3,female
257,1,1,female
258,1,1,female
259,1,1,female
260,1,2,female
261,0,3,male
262,1,3,male
263,0,1,male
264,0,1,male
265,0,3,female
266,0,2,male
267,0,3,male
268,1,3,male
269,1,1,female
270,1,1,female
271,0,1,male
272,1,3,male
273,1,2,female
274,0,1,male
275,1,3,female
276,1,1,female
277,0,3,female
278,0,2,male
279,0,3,male
280,1,3,female
281,0,3,male
282,0,3,male
283,0,3,male
284,1,3,male
285,0,1,male
286,0,3,male
287,1,3,male
288,0,3,male
289,1,2,male
290,1,3,female
291,1,1,female
292,1,1,female
293,0,2,male
294,0,3,female
295,0,3,male
296,0,1,male
297,0,3,male
298,0,1,female
299,1,1,male
300,1,1,female
301,1,3,female
302,1,3,male
303,0,3,male
304,1,2,female
305,0,3,male
306,1,1,male
307,1,1,female
308,1,1,female
309,0,2,male
310,1,1,female
311,1,1,female
312,1,1,female
313,0,2,female
314,0,3,male
315,0,2,male
316,1,3,female
317,1,2,female
318,0,2,male
319,1,1,female
320,1,1,female
321,0,3,male
322,0,3,male
323,1,2,female
324,1,2,female
325,0,3,male
326,1,1,female
327,0,3,male
328,1,2,female
329,1,3,female
330,1,1,female
331,1,3,female
332,0,1,male
333,0,1,male
334,0,3,male
335,1,1,female
336,0,3,male
337,0,1,male
338,1,1,female
339,1,3,male
340,0,1,male
341,1,2,male
342,1,1,female
343,0,2,male
344,0,2,male
345,0,2,male
346,1,2,female
347,1,2,female
348,1,3,female
349,1,3,male
350,0,3,male
351,0,3,male
352,0,1,male
353,0,3,male
354,0,3,male
355,0,3,male
356,0,3,male
357,1,1,female
358,0,2,female
359,1,3,female
360,1,3,female
361,0,3,male
362,0,2,male
363,0,3,female
364,0,3,male
365,0,3,male
366,0,3,male
367,1,1,female
368,1,3,female
369,1,3,female
370,1,1,female
371,1,1,male
372,0,3,male
373,0,3,male
374,0,1,male
375,0,3,female
376,1,1,female
377,1,3,female
378,0,1,male
379,0,3,male
380,0,3,male
381,1,1,female
382,1,3,female
383,0,3,male
384,1,1,female
385,0,3,male
386,0,2,male
387,0,3,male
388,1,2,female
389,0,3,male
390,1,2,female
391,1,1,male
392,1,3,male
393,0,3,male
394,1,1,female
395,1,3,female
396,0,3,male
397,0,3,female
398,0,2,male
399,0,2,male
400,1,2,female
401,1,3,male
402,0,3,male
403,0,3,female
404,0,3,male
405,0,3,female
406,0,2,male
407,0,3,male
408,1,2,male
409,0,3,male
410,0,3,female
411,0,3,male
412,0,3,male
413,1,1,female
414,0,2,male
415,1,3,male
416,0,3,female
417,1,2,female
418,1,2,female
419,0,2,male
420,0,3,female
421,0,3,male
422,0,3,male
423,0,3,male
424,0,3,female
425,0,3,male
426,0,3,male
427,1,2,female
428,1,2,female
429,0,3,male
430,1,3,male
431,1,1,male
432,1,3,female
433,1,2,female
434,0,3,male
435,0,1,male
436,1,1,female
437,0,3,female
438,1,2,female
439,0,1,male
440,0,2,male
441,1,2,female
442,0,3,male
443,0,3,male
444,1,2,female
445,1,3,male
446,1,1,male
447,1,2,female
448,1,1,male
449,1,3,female
450,1,1,male
451,0,2,male
452,0,3,male
453,0,1,male
454,1,1,male
455,0,3,male
456,1,3,male
457,0,1,male
458,1,1,female
459,1,2,female
460,0,3,male
461,1,1,male
462,0,3,male
463,0,1,male
464,0,2,male
465,0,3,male
466,0,3,male
467,0,2,male
468,0,1,male
469,0,3,male
470,1,3,female
471,0,3,male
472,0,3,male
473,1,2,female
474,1,2,female
475,0,3,female
476,0,1,male
477,0,2,male
478,0,3,male
479,0,3,male
480,1,3,female
481,0,3,male
482,0,2,male
483,0,3,male
484,1,3,female
485,1,1,male
486,0,3,female
487,1,1,female
488,0,1,male
489,0,3,male
490,1,3,male
491,0,3,male
492,0,3,male
493,0,1,male
494,0,1,male
495,0,3,male
496,0,3,male
497,1,1,female
498,0,3,male
499,0,1,female
500,0,3,male
501,0,3,male
502,0,3,female
503,0,3,female
504,0,3,female
505,1,1,female
506,0,1,male
507,1,2,female
508,1,1,male
509,0,3,male
510,1,3,male
511,1,3,male
512,0,3,male
513,1,1,male
514,1,1,female
515,0,3,male
516,0,1,male
517,1,2,female
518,0,3,male
519,1,2,female
520,0,3,male
521,1,1,female
522,0,3,male
523,0,3,male
524,1,1,female
525,0,3,male
526,0,3,male
527,1,2,female
528,0,1,male
529,0,3,male
530,0,2,male
531,1,2,female
532,0,3,male
533,0,3,male
534,1,3,female
535,0,3,female
536,1,2,female
537,0,1,male
538,1,1,female
539,0,3,male
540,1,1,female
541,1,1,female
542,0,3,female
543,0,3,female
544,1,2,male
545,0,1,male
546,0,1,male
547,1,2,female
548,1,2,male
549,0,3,male
550,1,2,male
551,1,1,male
552,0,2,male
553,0,3,male
554,1,3,male
555,1,3,female
556,0,1,male
557,1,1,female
558,0,1,male
559,1,1,female
560,1,3,female
561,0,3,male
562,0,3,male
563,0,2,male
564,0,3,male
565,0,3,female
566,0,3,male
567,0,3,male
568,0,3,female
569,0,3,male
570,1,3,male
571,1,2,male
572,1,1,female
573,1,1,male
574,1,3,female
575,0,3,male
576,0,3,male
577,1,2,female
578,1,1,female
579,0,3,female
580,1,3,male
581,1,2,female
582,1,1,female
583,0,2,male
584,0,1,male
585,0,3,male
586,1,1,female
587,0,2,male
588,1,1,male
589,0,3,male
590,0,3,male
591,0,3,male
592,1,1,female
593,0,3,male
594,0,3,female
595,0,2,male
596,0,3,male
597,1,2,female
598,0,3,male
599,0,3,male
600,1,1,male
601,1,2,female
602,0,3,male
603,0,1,male
604,0,3,male
605,1,1,male
606,0,3,male
607,0,3,male
608,1,1,male
609,1,2,female
610,1,1,female
611,0,3,female
612,0,3,male
613,1,3,female
614,0,3,male
615,0,3,male
616,1,2,female
617,0,3,male
618,0,3,female
619,1,2,female
620,0,2,male
621,0,3,male
622,1,1,male
623,1,3,male
624,0,3,male
625,0,3,male
626,0,1,male
627,0,2,male
628,1,1,female
629,0,3,male
630,0,3,male
631,1,1,male
632,0,3,male
633,1,1,male
634,0,1,male
635,0,3,female
636,1,2,female
637,0,3,male
638,0,2,male
639,0,3,female
640,0,3,male
641,0,3,male
642,1,1,female
643,0,3,female
644,1,3,male
645,1,3,female
646,1,1,male
647,0,3,male
648,1,1,male
649,0,3,male
650,1,3,female
651,0,3,male
652,1,2,female
653,0,3,male
654,1,3,female
655,0,3,female
656,0,2,male
657,0,3,male
658,0,3,female
659,0,2,male
660,0,1,male
661,1,1,male
662,0,3,male
663,0,1,male
664,0,3,male
665,1,3,male
666,0,2,male
667,0,2,male
668,0,3,male
669,0,3,male
670,1,1,female
671,1,2,female
672,0,1,male
673,0,2,male
674,1,2,male
675,0,2,male
676,0,3,male
677,0,3,male
678,1,3,female
679,0,3,female
680,1,1,male
681,0,3,female
682,1,1,male
683,0,3,male
684,0,3,male
685,0,2,male
686,0,2,male
687,0,3,male
688,0,3,male
689,0,3,male
690,1,1,female
691,1,1,male
692,1,3,female
693,1,3,male
694,0,3,male
695,0,1,male
696,0,2,male
697,0,3,male
698,1,3,female
699,0,1,male
700,0,3,male
701,1,1,female
702,1,1,male
703,0,3,female
704,0,3,male
705,0,3,male
706,0,2,male
707,1,2,female
708,1,1,male
709,1,1,female
710,1,3,male
711,1,1,female
712,0,1,male
713,1,1,male
714,0,3,male
715,0,2,male
716,0,3,male
717,1,1,female
718,1,2,female
719,0,3,male
720,0,3,male
721,1,2,female
722,0,3,male
723,0,2,male
724,0,2,male
725,1,1,male
726,0,3,male
727,1,2,female
728,1,3,female
729,0,2,male
730,0,3,female
731,1,1,female
732,0,3,male
733,0,2,male
734,0,2,male
735,0,2,male
736,0,3,male
737,0,3,female
738,1,1,male
739,0,3,male
740,0,3,male
741,1,1,male
742,0,1,male
743,1,1,female
744,0,3,male
745,1,3,male
746,0,1,male
747,0,3,male
748,1,2,female
749,0,1,male
750,0,3,male
751,1,2,female
752,1,3,male
753,0,3,male
754,0,3,male
755,1,2,female
756,1,2,male
757,0,3,male
758,0,2,male
759,0,3,male
760,1,1,female
761,0,3,male
762,0,3,male
763,1,3,male
764,1,1,female
765,0,3,male
766,1,1,female
767,0,1,male
768,0,3,female
769,0,3,male
770,0,3,male
771,0,3,male
772,0,3,male
773,0,2,female
774,0,3,male
775,1,2,female
776,0,3,male
777,0,3,male
778,1,3,female
779,0,3,male
780,1,1,female
781,1,3,female
782,1,1,female
783,0,1,male
784,0,3,male
785,0,3,male
786,0,3,male
787,1,3,female
788,0,3,male
789,1,3,male
790,0,1,male
791,0,3,male
792,0,2,male
793,0,3,female
794,0,1,male
795,0,3,male
796,0,2,male
797,1,1,female
798,1,3,female
799,0,3,male
800,0,3,female
801,0,2,male
802,1,2,female
803,1,1,male
804,1,3,male
805,1,3,male
806,0,3,male
807,0,1,male
808,0,3,female
809,0,2,male
810,1,1,female
811,0,3,male
812,0,3,male
813,0,2,male
814,0,3,female
815,0,3,male
816,0,1,male
817,0,3,female
818,0,2,male
819,0,3,male
820,0,3,male
821,1,1,female
822,1,3,male
823,0,1,male
824,1,3,female
825,0,3,male
826,0,3,male
827,0,3,male
828,1,2,male
829,1,3,male
830,1,1,female
831,1,3,female
832,1,2,male
833,0,3,male
834,0,3,male
835,0,3,male
836,1,1,female
837,0,3,male
838,0,3,male
839,1,3,male
840,1,1,male
841,0,3,male
842,0,2,male
843,1,1,female
844,0,3,male
845,0,3,male
846,0,3,male
847,0,3,male
848,0,3,male
849,0,2,male
850,1,1,female
851,0,3,male
852,0,3,male
853,0,3,female
854,1,1,female
855,0,2,female
856,1,3,female
857,1,1,female
858,1,1,male
859,1,3,female
860,0,3,male
861,0,3,male
862,0,2,male
863,1,1,female
864,0,3,female
865,0,2,male
866,1,2,female
867,1,2,female
868,0,1,male
869,0,3,male
870,1,3,male
871,0,3,male
872,1,1,female
873,0,1,male
874,0,3,male
875,1,2,female
876,1,3,female
877,0,3,male
878,0,3,male
879,0,3,male
880,1,1,female
881,1,2,female
882,0,3,male
883,0,3,female
884,0,2,male
885,0,3,male
886,0,3,female
887,0,2,male
888,1,1,female
889,0,3,female
890,1,1,male
891,0,3,male
